id,archivo_nuevo,archivo_original,n_copias,anio,autor_principal,pais,titulo,tipo,tipo_desc,tecnologia,dominio,poblacion,relacion,relacion_desc,keywords,doi,abstract
011,2026_Valencia-Arias_entrepreneurial-education-culture.pdf,1a054ca2-84b3-4231-89c7-bf273baea35f_f1000res178134.pdf,1,2026,Valencia-Arias,Peru,"[version 3; peer review: 1 approved, 2 approved with reservations]",RS,Revision sistematica,—,educación en emprendimiento,contextos rurales,D,D - Marginal,"Women's entrepreneurship education, cultural barriers, female leadership, gender equality, social transformation",10.12688/f1000research.178134.1,"(revision) Women’s entrepreneurial education has been increasingly recognized 03 Aug 2026 view view as a mechanism for promoting gender equality and economic participation in rural contexts. However, persistent cultural, symbolic, version 2 and structural barriers continue to limit women’s access to training, (revision) view view leadership opportunities, and innovation ecosystems, particularly in 16 Apr 2026 Latin America. version 1 Methods 24 Feb 2026 view A systematic review was conducted following the PRISMA 2020 guidelines. Searches were performed in Scopus and Web of Science between January and September 2025. Studies published between 2015 and 2025 in English or Spanish were included if they addressed women’s entrepreneurial education, leadership, or cultural barriers in rural or comparable contexts. A total of 842 records were identified, and after screening and eligibility assessment, 129 studies were included in the qualitative synthesis and 45 in the in-depth analysis. Results The findings indicate that institutional constraints, educational inequalities, and persistent gender stereotypes are the most frequently reported barriers. Facilitating factors include sociocultural support, visible role models, inclusive educational programs, and gender-oriented public policies. Women’s leadership is commonly 1. Virginia Barba-Sánchez Mancha, Albacete, Spain , Univ Castilla-La 2. Teresa Felgueira , Polytechnic Institute of Guarda, Guarda, Portugal 3. Louise Kelly Verne, USA"
012,2026_Xiong_AI-feedback-higher-education.pdf,2164.pdf,1,2026,Xiong,Malasia,Al-Based Feedback Systems and Student Learning Outcomes in Higher Education: A,RS,Revision sistematica,IA / feedback automatizado,educación superior,universitario,C,C - Metodo/Contexto,AI-based feedback systems; higher education; studengt learning outcomes; self-regulated learning; systematic review,10.70917/ijcisim-2026-2164,": This is a systematic review of the topic of AI-based feedback systems and their impact on student learning outcomes in higher education. Through Scopus, Web of Science (WoS) and ERIC, 93 records were obtained and filtered on the PRISMA principles, leaving 15 studies that were included in the study samples. The review mentions six broad categories of AI feedback tools, namely automated writing assessment systems, intelligent tutoring systems, generative AI-based feedback, learning analytics dashboards, chatbots, and AI-assisted grading systems. Throughout these tools, the learning outcomes that were reported were academic performance improvement, improvement in writing, conceptual understanding, engagement and motivation and self-regulated learning. The results also show that AI-based feedback can also be implemented in various fields, with the best representation of them being social sciences, then education, engineering, and health sciences. Overall, the review highlights the increasing importance of AI responses to improve instructional processes, help learners to become more independent, and offer scalable, time-sensitive and individualised feedback that can give some credible perspectives on the future of teaching and learning in higher education. "
013,2025_Mukhtar_educational-leadership-innovation.pdf,23239-68495-1-PB.pdf,1,2025,Mukhtar,Malasia,"1Department of Educational Management, Planning, and Policy, Faculty of Education, Unive",RS,Revision sistematica,—,liderazgo educativo,general,D,D - Marginal,Educational Innovation Leadership PRISMA diagram Systematic literature review,10.11591/edulearn.v19i4.23239,"This study provides a systematic review of innovation in educational leadership, a pivotal domain in the dynamic field of educational practices. Despite increasing interest, a comprehensive understanding of how innovation shapes educational leadership and its outcomes remains limited. To address this gap, this review examines studies published up to 2024, retrieved from reputable databases such as Scopus and Web of Science. Using the preferred reporting items for systematic reviews and metaanalyses (PRISMA) framework, 33 primary studies were selected for in-depth analysis. The findings are categorized into three key themes: i) digital and technological transformation in education, ii) leadership styles and professional development, and iii) innovative strategies and change management. The review highlights significant advancements in these areas, yet underscores the need for further exploration of their long-term impacts, particularly in diverse educational settings. This work contributes by synthesizing current trends and practices in educational leadership innovation, identifying existing challenges, and proposing pathways for future research. These insights aim to support the development of effective and scalable leadership innovations, ensuring adaptability and impact across various educational environments. This review ultimately serves as a foundation for advancing educational leadership to meet the evolving demands of the 21st-century education landscape. This is an op"
014,2024_Sularso_music-education-AI-visualization.pdf,2500-10976-1-PB.pdf,1,2024,Sularso,Indonesia,"JOIV : Int. J. Inform. Visualization, 9(2) - March 2025 718-727",BIB,Analisis bibliometrico,"IA (ML, NLP, visión, DL)",educación musical,incl. primaria,B,B - Relevante,—Artificial intelligence; bibliographic analysis; deep learning; machine learning; music education.,,"—Artificial intelligence (AI) has revolutionized traditional methods and improved decision-making and automation. AI has also been used to enhance teaching methods, student learning, and research in music education. This study will examine literature on music education and AI. This study aims to investigate significant themes, trends, and achievements in this burgeoning discipline. This study will examine scholarly articles, conference papers, and other relevant literature to explore AI's applications, issues, and future in music education. Machine learning, natural language processing, computer vision, and deep learning are utilized in music education. These techniques are used in music composition, performance evaluation, instructional support, and individualized learning. Adaptive training, real-time feedback, and intelligent music production demonstrate the transformative potential of AI. This study will illuminate the obstacles AI faces in music education. Ethical considerations, data privacy, algorithmic bias, and human competence must be thoroughly investigated. In addition, the analysis would identify knowledge deficits for future research and development. This research could assist educators, researchers, and policymakers utilize AI in music education by conducting a comprehensive literature review. This work can assist in the development of AI-based instruments, the improvement of pedagogy, and the promotion of music education. "
015,2025_Arets_genAI-social-interaction.pdf,2506.10927v1.pdf,1,2025,Arets,Paises Bajos,"TEIS T.J.E. ARETS, Eindhoven University of Technology, The Netherlands GIULIA PERUGIA, Eindhoven University of Technology, The Netherlands MAARTEN HOUBEN, Eindhoven University of Technology, The Netherlands WIJNAND A. IJSSELSTEIJN, Eindhoven University of Technology, The Nethe",SCOP,Scoping review,IA generativa / LLM,interacción social,general,C,C - Metodo/Contexto,"Scoping review, Generative AI, social connectedness, social interaction, vulnerable populations, design",,/
016,2026_AddinulJihad_global-citizenship-climate.pdf,26.+Fauzan+Addinul+Jihad.pdf,1,2026,AddinulJihad,Indonesia,"Fauzan Addinul Jihad, Hamka Al Hakim, Rodiatun Mardiah Faculty of Islamic Religion, Universitas Muhammadiyah Surakarta, Indonesia",RS,Revision sistematica,—,ciudadanía global / ODS,estudiantes,D,D - Marginal,Global Citizenship Education; The Climate Crisis; Environmental Sustainability; Systematic Literature Review; Agents of Change,,"The escalation of the global climate crisis and environmental degradation demand an educational transformation that does not just transfer knowledge, but equips the young generation as sustainability pioneers. Global Citizenship Education (GCE) is a vital instrument, but its implementation is often constrained by the gap between theoretical understanding and real changes in students' behavior. This research aims to explore GCE's strategy in shaping students as agents of change who have ecological awareness and environmental justice. This study applies the Systematic Literature Review (SLR) approach by complying with the PRISMA protocol. The data search was conducted exclusively on the Scopus database with a publication range of 2020–2026, which resulted in 11 empirical articles selected after going through a rigorous selection process and deduplication. Data analysis was carried out thematically to map the pedagogical approach and contribution of the study to the Sustainable Development Goal (SDG) 13. The findings show a shift in the educational paradigm from conventional teaching to the development of critical competencies and real action through a multidisciplinary approach. The strategy of integrating art, technology, and Socio-Scientific Inquiry-Based Learning (SSIBL) has proven to be significant in reducing eco-anxiety and turning it into constructive hope. In addition, the use of local wisdom and linguistic landscapes was found to be effective in internalizing global va"
017,2026_Musdira_learning-agility-measurement.pdf,30-42+Learning+Agility+Measurement+Models+in+Technology-Driven+Learning+Environments+A+Systematic+Literature+Review.pdf,1,2026,Musdira,Indonesia,Learning Agility Measurement Models in Technology-Driven Learning Environments: A Systematic Literature Review,RS,Revision sistematica,—,entornos de aprendizaje tecnológicos,general,C,C - Metodo/Contexto,Learning agility; Measurement models; Psychometric validation; Systematic literature review; Technology-driven learning.,10.66053/voice.v4i2.472,"Purpose - This study systematically examines how learning agility has been measured in recent literature by identifying dominant measurement models, dimensional structures, and psychometric approaches across contexts. Methods - This study employed a Systematic Literature Review (SLR) guided by the PRISMA 2020 statement. A structured search was conducted in the Scopus database using predefined "
018,2025_He_AI-traditional-music.pdf,3437-Article Text-7614-1-10-20250624.pdf,1,2025,He,Malasia,"Harmonizing Tradition, Algorithm, and Innovation: A Bibliometric Study on AI in Traditional Music",BIB,Analisis bibliometrico,IA,música tradicional,general,B,B - Relevante,Artificial intelligence Traditional music Bibliometric BiblioMagika Music technology,10.47405/mjssh.v10i6.3437,"This study aims to explore the intersection of artificial intelligence (AI) and traditional music through a bibliometric lens, identifying key trends, contributors, and research hotspots within this emerging interdisciplinary field. The bibliometric data were extracted from the Scopus database, which covers publications from 1974 to April 19, 2025, using "
019,2025_Sahlan_self-assessment-islamic-education.pdf,389+-+410+Student+Self-Assessment+in+Islamic.pdf,1,2025,Sahlan,Indonesia,"Student Self-Assessment in Islamic Religious Education: A Scopus-Based Bibliometric Review of Trends, Themes, and Research Gaps",BIB,Analisis bibliometrico,método bibliométrico,educación religiosa islámica,estudiantes,D,D - Marginal,"Assessment Epistemology, Bibliometric Analysis, Islamic Religious Education, Scopus Database, Student SelfAssessment.",10.33086/ehdj.v10i3.8390,"The central problem addressed in this study is the fragmented nature of existing research on student self-assessment within the context of Islamic Religious Education (IRE). This fragmentation hampers the identification of developmental trends, dominant themes, and comprehensive research trajectories in the field. Although self-assessment, as a reflective evaluative strategy, holds significant potential for enhancing metacognitive awareness, learner autonomy, and the cultivation of students’ religious character, its implementation has not been supported by systematic scientific mapping. Accordingly, this study aims to analyze publication trends, collaboration patterns, and the thematic evolution of research on student selfassessment in IRE using a bibliometric approach. The study employed a bibliometric design with data sourced from the Scopus database covering the period 1990–2025. A total of 169 relevant documents were analysed using Bibliometric (RStudio) and VOSviewer to map citation patterns, author collabora- tions, and keyword and thematic clusters. The analytical techniques included co-citation analysis, co- authorship analysis, bibliographic coupling, and keyword co-occurrence mapping. The results indicate that research on self-assessment has experienced moderate growth, with an annual development rate of 5.25%. The dominant themes identified include formative assessment, self-regulated learning, and profes- sional development, with recent trends increasingly reflect"
020,2026_MohdNong_digital-skills-career-readiness.pdf,42ff94872e08dd1e8b39d8d790355cd4.pdf,1,2026,MohdNong,Malasia,Enhancing Digital Skills Towards Career Readiness: A Recent Systematic Review,RS,Revision sistematica,competencias digitales,empleabilidad / educación,general,C,C - Metodo/Contexto,Digital skills; Technology; Career readiness; Education; Systematic review,10.37934/araset.60.1.4159,
021,2025_Du_spectrum-pedagogy-vocal.pdf,5.+Enbo+Du_84011.pdf,1,2025,Du,China,Breaking the sound barrier: Spectrum–based pedagogies in modern vocal music education,RS,Revision sistematica,análisis espectral / redes neuronales,canto / educación vocal,estudiantes de canto,B,B - Relevante,"spectrum analysis, systematic review, pedagogy, vocal music education, vocal technique",10.21831/cp.v44i3.84011,"The integration of spectrum–based pedagogies in vocal music education presents promising advancements in enhancing vocal instruction through technology–driven feedback. The importance of spectrum analysis tools in modernizing vocal pedagogy is examined in this systematic literature review, which was carried out with 28 articles that adhered to PRISMA principles. Spectrum–based tools such as Fourier transforms, spectrographs and neural networks are increasingly used to provide real–time visual feedback on vocal elements like pitch, resonance, breath control, and vocal fold vibrations. Findings demonstrate that these tools facilitate a more precise and scientific approach to vocal training by enabling students to visualize vocal mechanics and adjust their technique accordingly. By demystifying vocal production processes, spectrum–based pedagogies foster deeper student understanding and engagement, resulting in improved retention of technique and a heightened standard of performance. This review underscores the transformative potential of spectrum–based methods in vocal pedagogy, highlighting implications for educators, curriculum designers, and technology developers interested in advancing music education through data–driven, interactive learning environments. The study concludes with recommendations for further research on the long–term effects of spectrum–based pedagogies on vocal training outcomes. "
022,2024_Lin_metaverse-music-education.pdf,5382-Article Text-28041-1-10-20241213.pdf,1,2024,Lin,China,International Journal of Advanced Research in Future Ready Learning and,RS,Revision sistematica,metaverso / RV / RA / IA,educación musical,general,B,B - Relevante,"to ensure a broad and comprehensive literature retrieval. The study addresses two primary inquiries: firstly, it categorizes Metaverse-Based Learning (MBL) technologies employed in music education, encompassing virtual reality, augmented reality, art",10.37934/frle.37.1.4158,"In recent years, the integration of metaverse technologies into educational settings has gained significant attention. This systematic review aims to investigate the application of metaverse-based learning in music education. The review employs clearly defined inclusion and exclusion criteria, spanning literature from 2019 to 2023. The screening process encompasses key concepts, relevance, and alternative "
023,2026_Dimitriadou_AI-higher-education-disciplines.pdf,5651-12372-1-PB.pdf,1,2026,Dimitriadou,Grecia,"STAVROULA DIMITRIADOU1, STAVROS ATHANASSOPOULOS2, VASSILIS KOMIS3, STAMATIOS PAPADAKIS4, KONSTANTINOS LAVIDAS3",RS,Revision sistematica,IA generativa,educación superior,universitario,C,C - Metodo/Contexto,"Artificial Intelligence in education, Higher Education, Generative AI, AI literacy, pedagogical integration",,"This systematic review examines how higher education students use artificial intelligence (AI) across academic disciplines, including its benefits and concerns. Following PRISMA guidelines, 100 Scopus-indexed studies were analyzed. Findings show disciplinary differences in AI adoption, with Linguistics and Language-related Studies and Medical and Health Sciences reporting the highest use. Benefits include personalized feedback, increased engagement, self-regulated learning, and improved REVIEW OF SCIENCE, MATHEMATICS and ICT EDUCATION, 20(1), 129-173, 2026 129 STAVROULA DIMITRIADOU, STAVROS ATHANASSOPOULOS, VASSILIS KOMIS, STAMATIOS PAPADAKIS, KONSTANTINOS LAVIDAS academic performance. However, concerns such as academic integrity risks, overreliance on AI, ethical and privacy issues, uneven AI literacy, and limited pedagogical alignment persist. The review highlights the need for coherent frameworks, institutional policies, and discipline-specific AI training in higher education. "
024,2025_Suripah_math-learning-technology-bibliometric.pdf,6.pdf,1,2025,Suripah,Indonesia,"13. Sinta 2_Zet Suripah,_JRPM Mei 2025",BIB,Analisis bibliometrico,método bibliométrico,educación matemática,general,D,D - Marginal,,,20 33 Article history Received: 1 Aug 2024 Revised: 4 May 2025 Accepted: 7 May 2025 Learning outcomes are influenced by the process carried out during learning. The learning process is carried out by applying innovative learning models/approaches.This study aims to determine the effect of the Realistic Mathematics Education (RME) approach on the mathematics learning outcomes of grade VIII students at Siak Hulu Junior High School. Employing 
025,2026_Deroncele-Acosta_museum-education-digital.pdf,6245_ES.pdf,1,2026,Deroncele-Acosta,Peru,Ȁ,RS,Revision sistematica,RA / RV / museos inteligentes / IA,educación museística,general,C,C - Metodo/Contexto,Aprendizaje Educación museística Innovación educativa Inteligencia artificial Museo inteligente Realidad aumentada Realidad virtual,10.62161/revvisual.v18.6245,"El objetivo del estudio es analizar, sintetizar y categorizar evidencia científica reciente sobre tecnologías emergentes en la educación museística. Se realizó una revisión sistemática PRISMA, utilizando Scopus y Web of Science, incluyendo 42 estudios evaluados mediante CASP y GRADE. Los resultados evidencian el predominio de los museos virtuales y museos digitales 2D y 3D como tecnologías más consolidadas, especialmente en cuanto a la accesibilidad. La realidad aumentada y la realidad virtual destacan en experiencias inmersivas y aprendizaje experiencial, mientras que la inteligencia artificial (IA), aprendizaje automático y robótica social configuran una línea emergente vinculada a la personalización. Desde el punto de vista pedagógico, las tecnologías contribuyen a cuatro dimensiones clave: accesibilidad, inmersión, personalización y engagement. La educación museística evoluciona hacia un ecosistema ecopedagógico, en el cual convergen dimensiones tecnológicas, pedagógicas e institucionales, confluyendo IA, humanismo digital, robótica, computación afectiva, y computación cuántica, hacia una educación museística inteligente, afectiva y cuántica. Received: 29/ 01 / 2026 Accepted: 20/ 04 / 2026 VISUAL Review, 18(4), 2026, pp. 57-84 1. Introducción El papel educativo de los museos ha experimentado una transformación significativa en las últimas décadas, transitando de modelos centrados en la exhibición a enfoques orientados al aprendizaje experiencial del visitante y al impacto"
026,2021_AbdulWahab_computational-thinking-STEM.pdf,706-Article Text-1746-2-10-20210309.pdf,1,2021,AbdulWahab,Malasia,The Big Why of Implementing Computational Thinking in STEM Education: A Systematic Lit,RS,Revision sistematica,pensamiento computacional,educación STEM,aula,C,C - Metodo/Contexto,"STEM education, computational thinking, systematic literature review ______________________________________________________________________________________________________",10.47405/mjssh.v6i3.706,"______________________________________________________________________________________________________ Computational Thinking (CT) has been increasingly embraced as a reformation in STEM education. This paper discusses why the implementation of CT would have a considerable effect on STEM education. The first objective of this systematic literature review is to identify the subjects that incorporate the most elements of CT in STEM education. Secondly, it aims to provide an overview of CT practices in the classrooms. Finally, the major findings of this study seek to discuss the benefits and challenges of the use of CT in STEM education. Fifteen articles were methodically selected from Scopus, Web of Science, Dimensions, and Google Scholar databases as the relevant studies to be discussed in this systematic study, based on the PRISMA Statement (Preferred Reporting Items for Systematic Reviews and MetaAnalysis) review technique. This review identifies current research gaps and directions for the practice and implementation of CT in STEM education. Further analysis of the articles has contributed to a conclusion that CT has become more widespread and multi-disciplinary and seems to have propagated improvements in STEM education. Still, a new study is required, especially on long-term implications. "
027,2025_Imanulyaqin_education-social-transformation.pdf,7392-26847-1-PB.pdf,1,2025,Imanulyaqin,Indonesia,Trends and Knowledge Structure in Global Studies of Education and Social Transformation: A Bibliometric Analysis (2000–2024),BIB,Analisis bibliometrico,VOSviewer,educación y transformación social,general,D,D - Marginal,Bibliometric analysis Education Global research mapping Social transformation,,
